id,cluster
367507,8
367508,1
367509,8
367510,2
367511,8
367512,1
367513,8
367514,4
367515,1
367516,9
367517,9
367518,0
367519,1
367520,8
367521,9
367522,8
367523,3
367524,8
367525,0
367526,10
367527,6
367528,2
367529,8
367530,8
367531,8
367532,9
367533,8
367534,2
367535,0
367536,8
367537,8
367538,8
367539,8
367540,8
367541,0
367542,8
367543,1
367544,8
367545,8
367546,7
367547,8
367548,3
367549,8
367550,0
367551,9
367552,2
367553,8
367554,0
367555,8
367556,0
367557,3
367558,9
367559,9
367560,8
367561,2
367562,8
367563,0
367564,8
367565,0
367566,3
367567,3
367568,8
367569,8
367570,8
367571,6
367572,2
367573,7
367574,2
367575,9
367576,5
367577,3
367578,8
367579,7
367580,7
367581,2
367582,1
367583,3
367584,1
367585,8
367586,0
367587,1
367588,9
367589,8
367590,1
367591,3
367592,8
367593,2
367594,1
367595,0
367596,7
367597,7
367598,1
367599,1
367600,8
367601,1
367602,3
367603,2
367604,2
367605,5
367606,8
367607,3
367608,2
367609,9
367610,0
367611,1
367612,8
367613,8
367614,1
367615,2
367616,1
367617,0
367618,0
367619,8
367620,4
367621,0
367622,4
367623,2
367624,4
367625,2
367626,0
367627,4
367628,8
367629,2
367630,8
367631,0
367632,2
367633,2
367634,3
367635,4
367636,4
367637,2
367638,2
367639,2
367640,1
367641,4
367642,4
367643,2
367644,2
367645,6
367646,8
367647,2
367648,7
367650,2
367651,8
367652,6
367653,2
367654,1
367655,8
367656,2
367657,8
367658,2
367659,0
367660,11
367661,8
367662,3
367663,0
367664,8
367665,2
367666,1
367667,8
367668,8
367669,2
367670,11
367671,2
367672,8
367673,0
367674,8
367675,8
367676,7
367677,7
367678,3
367679,8
367680,8
367681,1
367682,8
367683,3
367684,11
367685,8
367686,8
367687,8
367688,8
367689,0
367690,2
367691,8
367692,3
367693,8
367694,8
367695,11
367696,1
367697,8
367698,8
367699,8
367700,3
367701,5
367702,8
367703,0
367704,8
367705,3
367706,2
367707,11
367708,3
367709,0
367710,0
367711,8
367712,8
367713,0
367714,0
367715,8
367716,8
367717,8
367718,0
367719,5
367720,3
367721,8
367722,8
367723,9
367724,8
367725,8
367726,0
367727,9
367728,0
367729,8
367730,5
367731,8
367732,0
367733,8
367734,9
367735,8
367736,11
367737,8
367738,9
367739,3
367740,8
367741,9
367742,6
367743,2
367744,0
367745,1
367746,8
367747,8
367748,2
367749,6
367750,11
367751,8
367752,8
367753,1
367754,3
367755,0
367756,8
367757,8
367758,2
367759,2
367760,4
367761,1
367762,2
367763,2
367764,2
367765,9
367766,8
367767,8
367768,8
367769,8
367770,9
367771,11
367772,7
367773,1
367774,3
367775,4
367776,3
367777,2
367778,8
367779,8
367780,5
367781,8
367782,3
367783,8
367784,11
367785,1
367786,7
367787,0
367788,8
367789,2
367790,8
367791,4
367793,8
367794,1
367795,8
367796,8
367797,2
367798,8
367799,9
367800,9
367801,9
367802,2
367803,7
367805,2
367806,8
367807,7
367808,7
367809,0
367810,4
367811,1
367812,1
367813,8
367814,0
367815,11
367816,8
367817,2
367818,8
367819,8
367820,1
367821,7
367822,1
367823,0
367824,3
367825,8
367826,8
367827,1
367828,8
367829,9
367830,0
367831,8
367832,0
367833,8
367834,1
367835,8
367836,8
367837,8
367838,8
367839,3
367840,9
367841,11
367842,5
367843,0
367844,11
367845,0
367846,0
367847,7
367848,2
367849,0
367850,8
367851,7
367852,8
367853,1
367854,8
367855,8
367856,6
367857,3
367858,7
367859,8
367860,9
367861,9
367862,8
367863,3
367864,9
367865,9
367866,8
367867,8
367868,0
367869,8
367870,3
367871,9
367872,9
367873,9
367874,0
367875,0
367876,8
367877,5
367878,10
367879,10
367880,8
367881,0
367882,8
367883,6
367884,8
367885,7
367886,7
367887,7
367888,7
367889,0
367890,0
367891,8
367892,0
367893,0
367894,6
367895,3
367896,8
367897,6
367898,2
367899,0
367900,8
367901,7
367902,8
367903,7
367904,0
367905,0
367906,3
367907,0
367908,0
367909,3
367910,0
367911,0
367912,1
367913,8
367914,1
367915,0
367916,8
367917,7
367918,0
367919,1
367920,2
367921,8
367922,5
367923,9
367924,8
367925,8
367926,8
367927,2
367928,8
367929,1
367930,1
367931,8
367932,6
367933,8
367934,2
367935,0
367936,0
367937,8
367938,8
367939,2
367940,0
367941,2
367942,8
367943,8
367944,2
367945,2
367946,8
367947,2
367948,6
367949,8
367950,8
367951,8
367952,2
367953,9
367954,8
367955,2
367956,1
367957,1
367958,2
367959,1
367960,6
367961,0
367962,2
367963,8
367964,7
367966,2
367967,8
367968,7
367969,8
367970,1
367971,3
367972,11
367973,11
367974,5
367975,1
367976,8
367977,1
367978,0
367979,8
367980,0
367981,10
367982,10
367983,0
367984,3
367985,8
367986,1
367987,0
367988,8
367989,6
367990,8
367991,8
367992,8
367993,8
367994,1
367995,8
367996,8
367997,0
367998,0
367999,9
368000,0
368001,8
368002,8
368003,5
368004,8
368005,8
368006,11
368007,8
368008,8
368009,0
368010,8
368011,7
368012,9
368013,9
368014,8
368015,9
368016,8
368017,8
368018,9
368019,1
368020,9
368021,8
368022,8
368023,8
368024,8
368025,10
368026,8
368027,8
368028,9
368029,9
368030,8
368031,8
368032,1
368033,5
368034,5
368035,0
368036,9
368037,9
368038,5
368039,4
368040,5
368041,3
368042,2
368043,8
368044,8
368045,2
368046,3
368047,5
368048,5
368049,0
368050,8
368051,5
368052,5
368053,0
368054,1
368055,8
368056,0
368057,2
368058,2
368059,5
368060,0
368061,6
368062,11
368063,8
368064,0
368065,0
368066,5
368067,2
368068,9
368069,8
368070,4
368071,9
368072,7
368073,2
368074,2
368075,9
368076,7
368077,1
368078,5
368079,1
368080,8
368081,0
368082,5
368083,2
368084,8
368085,2
368086,1
368087,9
368088,8
368089,8
368090,9
368091,5
368092,2
368093,8
368094,1
368095,2
368096,2
368097,2
368098,0
368099,8
368100,4
368101,4
368102,8
368103,2
368104,8
368105,2
368106,8
368107,11
368108,8
368109,2
368110,0
368111,8
368112,8
368113,1
368114,0
368115,8
368116,8
368117,2
368118,2
368119,2
368120,2
368121,1
368122,1
368123,4
368125,1
368126,1
368127,8
368128,8
368129,0
368131,8
368130,1
368132,7
368134,3
368135,1
368136,2
368137,4
368138,4
368139,2
368140,4
368141,8
368142,1
368143,6
368144,8
368146,8
368147,8
368148,8
368145,1
368149,8
368150,6
368151,1
368152,7
368154,2
368155,8
368156,4
368157,8
368158,8
368159,8
368160,8
368161,8
368162,8
368163,8
368164,8
368165,11
368166,8
368167,9
368168,1
368169,8
368170,0
368171,0
368172,1
368173,1
